"PopName","Area","Year","YearReg","YearInterval","Sex","Age","AgeInterval","Lexis","RefCode","Access","Deaths","NoteCode1","NoteCode2","NoteCode3","LDB"
"CA",1,1959,1959,1,"f","0",1,"TL","RDC Tabulation","O",1789.10930365297,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","0",1,"TU","RDC Tabulation","O",1789.89069634703,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","1",1,"TL","RDC Tabulation","O",116.238698630137,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","1",1,"TU","RDC Tabulation","O",121.761301369863,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","2",1,"TL","RDC Tabulation","O",67.1174657534247,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","2",1,"TU","RDC Tabulation","O",69.8825342465753,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","3",1,"TL","RDC Tabulation","O",66.3498287671233,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","3",1,"TU","RDC Tabulation","O",58.6501712328767,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","4",1,"TL","RDC Tabulation","O",59.9337899543379,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","4",1,"TU","RDC Tabulation","O",59.0662100456621,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","5",1,"TL","RDC Tabulation","O",33.5070776255708,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","5",1,"TU","RDC Tabulation","O",33.4929223744292,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","6",1,"TL","RDC Tabulation","O",27.5325342465753,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","6",1,"TU","RDC Tabulation","O",34.4674657534247,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","7",1,"TL","RDC Tabulation","O",27.7001712328767,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","7",1,"TU","RDC Tabulation","O",26.2998287671233,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","8",1,"TL","RDC Tabulation","O",33.4852739726027,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","8",1,"TU","RDC Tabulation","O",25.5147260273973,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","9",1,"TL","RDC Tabulation","O",19.3321347031963,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","9",1,"TU","RDC Tabulation","O",19.6678652968037,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","10",1,"TL","RDC Tabulation","O",15.4584474885845,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","10",1,"TU","RDC Tabulation","O",18.5415525114155,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","11",1,"TL","RDC Tabulation","O",15.9719748858447,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","11",1,"TU","RDC Tabulation","O",13.0280251141553,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","12",1,"TL","RDC Tabulation","O",20.3219748858447,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","12",1,"TU","RDC Tabulation","O",18.6780251141553,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","13",1,"TL","RDC Tabulation","O",15.5953767123288,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","13",1,"TU","RDC Tabulation","O",19.4046232876712,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","14",1,"TL","RDC Tabulation","O",13.0815068493151,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","14",1,"TU","RDC Tabulation","O",15.9184931506849,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","15",1,"TL","RDC Tabulation","O",21.5672374429224,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","15",1,"TU","RDC Tabulation","O",22.4327625570776,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","16",1,"TL","RDC Tabulation","O",21.0047945205479,"Tab2Standard()",NA,NA,1
"CA",1,1959,1959,1,"f","16",1,"TU","RDC Tabulation","O",24.9952054794521,"Tab2Standard()",NA,NA,1
