"Popname","Sex","Year","Age","Lexis","Deaths"
"CA","F","1959","0","TL","1789.10930365297"
"CA","F","1959","0","TU","1789.89069634703"
"CA","F","1959","1","TL","116.238698630137"
"CA","F","1959","1","TU","121.761301369863"
"CA","F","1959","2","TL","67.1174657534247"
"CA","F","1959","2","TU","69.8825342465753"
"CA","F","1959","3","TL","66.3498287671233"
"CA","F","1959","3","TU","58.6501712328767"
"CA","F","1959","4","TL","59.9337899543379"
"CA","F","1959","4","TU","59.0662100456621"
"CA","F","1959","5","TL","33.5070776255708"
"CA","F","1959","5","TU","33.4929223744292"
"CA","F","1959","6","TL","27.5325342465753"
"CA","F","1959","6","TU","34.4674657534247"
"CA","F","1959","7","TL","27.7001712328767"
"CA","F","1959","7","TU","26.2998287671233"
"CA","F","1959","8","TL","33.4852739726027"
"CA","F","1959","8","TU","25.5147260273973"
"CA","F","1959","9","TL","19.3321347031963"
"CA","F","1959","9","TU","19.6678652968037"
"CA","F","1959","10","TL","15.4584474885845"
"CA","F","1959","10","TU","18.5415525114155"
"CA","F","1959","11","TL","15.9719748858447"
"CA","F","1959","11","TU","13.0280251141553"
"CA","F","1959","12","TL","20.3219748858447"
"CA","F","1959","12","TU","18.6780251141553"
"CA","F","1959","13","TL","15.5953767123288"
"CA","F","1959","13","TU","19.4046232876712"
"CA","F","1959","14","TL","13.0815068493151"
"CA","F","1959","14","TU","15.9184931506849"
"CA","F","1959","15","TL","21.5672374429224"
"CA","F","1959","15","TU","22.4327625570776"
"CA","F","1959","16","TL","21.0047945205479"
"CA","F","1959","16","TU","24.9952054794521"
"CA","F","1959","17","TL","26.1260844748858"
"CA","F","1959","17","TU","27.8739155251142"
"CA","F","1959","18","TL","29.9977168949772"
"CA","F","1959","18","TU","25.0022831050228"
"CA","F","1959","19","TL","26.5845890410959"
"CA","F","1959","19","TU","24.4154109589041"
"CA","F","1959","20","TL","23.8404109589041"
"CA","F","1959","20","TU","21.1595890410959"
"CA","F","1959","21","TL","26.9703196347032"
"CA","F","1959","21","TU","30.0296803652968"
"CA","F","1959","22","TL","21.9837328767123"
"CA","F","1959","22","TU","22.0162671232877"
"CA","F","1959","23","TL","39.0007420091324"
"CA","F","1959","23","TU","30.9992579908676"
"CA","F","1959","24","TL","41.0053082191781"
"CA","F","1959","24","TU","36.9946917808219"
"CA","F","1959","25","TL","45.2632420091324"
"CA","F","1959","25","TU","35.7367579908676"
"CA","F","1959","26","TL","37.3086187214612"
"CA","F","1959","26","TU","36.6913812785388"
"CA","F","1959","27","TL","39.3471461187215"
"CA","F","1959","27","TU","41.6528538812785"
"CA","F","1959","28","TL","41.5701484018265"
"CA","F","1959","28","TU","44.4298515981735"
"CA","F","1959","29","TL","51.5021689497717"
"CA","F","1959","29","TU","50.4978310502283"
"CA","F","1959","30","TL","57.3000570776256"
"CA","F","1959","30","TU","55.6999429223744"
"CA","F","1959","31","TL","54.2361301369863"
"CA","F","1959","31","TU","60.7638698630137"
"CA","F","1959","32","TL","63.011700913242"
"CA","F","1959","32","TU","57.988299086758"
"CA","F","1959","33","TL","86.610502283105"
"CA","F","1959","33","TU","69.389497716895"
"CA","F","1959","34","TL","71.4935502283105"
"CA","F","1959","34","TU","72.5064497716895"
"CA","F","1959","35","TL","78.9868150684932"
"CA","F","1959","35","TU","75.0131849315068"
"CA","F","1959","36","TL","94.1978310502283"
"CA","F","1959","36","TU","87.8021689497717"
"CA","F","1959","37","TL","81.3630707762557"
"CA","F","1959","37","TU","84.6369292237443"
"CA","F","1959","38","TL","107.293321917808"
"CA","F","1959","38","TU","104.706678082192"
"CA","F","1959","39","TL","116.435616438356"
"CA","F","1959","39","TU","117.564383561644"
"CA","F","1959","40","TL","125.897089041096"
"CA","F","1959","40","TU","118.102910958904"
"CA","F","1959","41","TL","144.560388127854"
"CA","F","1959","41","TU","136.439611872146"
"CA","F","1959","42","TL","133.276712328767"
"CA","F","1959","42","TU","134.723287671233"
"CA","F","1959","43","TL","146.68904109589"
"CA","F","1959","43","TU","142.31095890411"
"CA","F","1959","44","TL","166.319006849315"
"CA","F","1959","44","TU","172.680993150685"
"CA","F","1959","45","TL","171.393721461187"
"CA","F","1959","45","TU","172.606278538813"
"CA","F","1959","46","TL","191.255136986301"
"CA","F","1959","46","TU","177.744863013699"
"CA","F","1959","47","TL","211.940753424658"
"CA","F","1959","47","TU","204.059246575342"
"CA","F","1959","48","TL","201.365182648402"
"CA","F","1959","48","TU","190.634817351598"
"CA","F","1959","49","TL","212.380422374429"
"CA","F","1959","49","TU","224.619577625571"
"CA","F","1959","50","TL","230.634646118721"
"CA","F","1959","50","TU","226.365353881279"
"CA","F","1959","51","TL","218.608789954338"
"CA","F","1959","51","TU","218.391210045662"
"CA","F","1959","52","TL","245.970890410959"
"CA","F","1959","52","TU","242.029109589041"
"CA","F","1959","53","TL","243.272146118721"
