PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
HUN,01,m,1950,1950,3,O,101399,.,.,.,1
HUN,01,m,1951,1951,3,O,98073,.,.,.,1
HUN,01,m,1952,1952,3,O,95804,.,.,.,1
HUN,01,m,1953,1953,3,O,106924,.,.,.,1
HUN,01,m,1954,1954,3,O,115908,.,.,.,1
HUN,01,m,1955,1955,3,O,108842,.,.,.,1
HUN,01,m,1956,1956,3,O,99652,.,.,.,1
HUN,01,m,1957,1957,3,O,86800,.,.,.,1
HUN,01,m,1958,1958,3,O,82139,.,.,.,1
HUN,01,m,1959,1959,3,O,77953,.,.,.,1
HUN,01,m,1960,1960,3,O,75788,.,.,.,1
HUN,01,m,1961,1961,3,O,72615,.,.,.,1
HUN,01,m,1962,1962,3,O,67152,.,.,.,1
HUN,01,m,1963,1963,3,O,68276,.,.,.,1
HUN,01,m,1964,1964,3,O,68380,.,.,.,1
HUN,01,m,1965,1965,3,O,68603,.,.,.,1
HUN,01,m,1966,1966,3,O,71665,.,.,.,1
HUN,01,m,1967,1967,3,O,76910,.,.,.,1
HUN,01,m,1968,1968,3,O,79606,.,.,.,1
HUN,01,m,1969,1969,3,O,79901,.,.,.,1
HUN,01,m,1970,1970,3,O,78366,.,.,.,1
HUN,01,m,1971,1971,3,O,77611,.,.,.,1
HUN,01,m,1972,1972,3,O,79309,.,.,.,1
HUN,01,m,1973,1973,3,O,80657,.,.,.,1
HUN,01,m,1974,1974,3,O,95887,.,.,.,1
HUN,01,m,1975,1975,3,O,99907,.,.,.,1
HUN,01,m,1976,1976,3,O,95350,.,.,.,1
HUN,01,m,1977,1977,3,O,91063,.,.,.,1
HUN,01,m,1978,1978,3,O,86455,.,.,.,1
HUN,01,m,1979,1979,3,O,82172,.,.,.,1
HUN,01,m,1980,1980,3,O,76115,.,.,.,1
HUN,01,m,1981,1981,3,O,72920,.,.,.,1
HUN,01,m,1982,1982,3,O,68778,.,.,.,1
HUN,01,m,1983,1983,3,O,65082,.,.,.,1
HUN,01,m,1984,1984,3,O,64067,.,.,.,1
HUN,01,m,1985,1985,3,O,66826,.,.,.,1
HUN,01,m,1986,1986,3,O,65537,.,.,.,1
HUN,01,m,1987,1987,3,O,64579,.,.,.,1
HUN,01,m,1988,1988,3,O,63790,.,.,.,1
HUN,01,m,1989,1989,3,O,63296,.,.,.,1
HUN,01,m,1990,1990,3,O,64216,.,.,.,1
HUN,01,m,1991,1991,3,O,65107,.,.,.,1
HUN,01,m,1992,1992,3,O,62514,.,.,.,1
HUN,01,m,1993,1993,3,O,60037,.,.,.,1
HUN,01,m,1994,1994,3,O,59409,.,.,.,1
HUN,01,m,1995,1995,3,O,57556,.,.,.,1
HUN,01,m,1996,1996,3,O,54188,.,.,.,1
HUN,01,m,1997,1997,3,O,51907,.,.,.,1
HUN,01,m,1998,1998,3,O,49956,.,.,.,1
HUN,01,m,1999,1999,3,O,48896,.,.,.,1
HUN,01,m,2000,2000,4,O,50242,.,.,.,1
HUN,01,m,2001,2001,4,O,50034,.,.,.,1
HUN,01,m,2002,2002,4,O,49695,.,.,.,1
HUN,01,m,2003,2003,8,O,48863,.,.,.,1
HUN,01,m,2004,2004,8,O,48778,.,.,.,1
HUN,01,m,2005,2005,8,O,50327,.,.,.,1
HUN,01,m,2006,2006,15,O,51116,.,.,.,1
HUN,01,f,1950,1950,3,O,94168,.,.,.,1
HUN,01,f,1951,1951,3,O,92572,.,.,.,1
HUN,01,f,1952,1952,3,O,90016,.,.,.,1
HUN,01,f,1953,1953,3,O,100002,.,.,.,1
HUN,01,f,1954,1954,3,O,107439,.,.,.,1
HUN,01,f,1955,1955,3,O,101588,.,.,.,1
HUN,01,f,1956,1956,3,O,93158,.,.,.,1
HUN,01,f,1957,1957,3,O,80402,.,.,.,1
HUN,01,f,1958,1958,3,O,76289,.,.,.,1
HUN,01,f,1959,1959,3,O,73241,.,.,.,1
HUN,01,f,1960,1960,3,O,70673,.,.,.,1
HUN,01,f,1961,1961,3,O,67750,.,.,.,1
HUN,01,f,1962,1962,3,O,62901,.,.,.,1
HUN,01,f,1963,1963,3,O,64059,.,.,.,1
HUN,01,f,1964,1964,3,O,63761,.,.,.,1
HUN,01,f,1965,1965,3,O,64406,.,.,.,1
HUN,01,f,1966,1966,3,O,66824,.,.,.,1
HUN,01,f,1967,1967,3,O,71976,.,.,.,1
HUN,01,f,1968,1968,3,O,74813,.,.,.,1
HUN,01,f,1969,1969,3,O,74417,.,.,.,1
HUN,01,f,1970,1970,3,O,73453,.,.,.,1
HUN,01,f,1971,1971,3,O,73029,.,.,.,1
HUN,01,f,1972,1972,3,O,73956,.,.,.,1
HUN,01,f,1973,1973,3,O,75567,.,.,.,1
HUN,01,f,1974,1974,3,O,90401,.,.,.,1
