PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
HUN,01,1950,1950,1,f,0,1,TL,1,O,5817,.,.,.,1
HUN,01,1950,1950,1,f,0,1,TU,1,O,1443,.,.,.,1
HUN,01,1950,1950,1,f,1,1,TL,1,O,382,.,.,.,1
HUN,01,1950,1950,1,f,1,1,TU,1,O,226,.,.,.,1
HUN,01,1950,1950,1,f,2,1,TL,1,O,153,.,.,.,1
HUN,01,1950,1950,1,f,2,1,TU,1,O,113,.,.,.,1
HUN,01,1950,1950,1,f,3,1,TL,1,O,93,.,.,.,1
HUN,01,1950,1950,1,f,3,1,TU,1,O,64,.,.,.,1
HUN,01,1950,1950,1,f,4,1,TL,1,O,79,.,.,.,1
HUN,01,1950,1950,1,f,4,1,TU,1,O,41,.,.,.,1
HUN,01,1950,1950,1,f,5,1,TL,1,O,56,.,.,.,1
HUN,01,1950,1950,1,f,5,1,TU,1,O,40,.,.,.,1
HUN,01,1950,1950,1,f,6,1,TL,1,O,49,.,.,.,1
HUN,01,1950,1950,1,f,6,1,TU,1,O,49,.,.,.,1
HUN,01,1950,1950,1,f,7,1,TL,1,O,37,.,.,.,1
HUN,01,1950,1950,1,f,7,1,TU,1,O,48,.,.,.,1
HUN,01,1950,1950,1,f,8,1,TL,1,O,33,.,.,.,1
HUN,01,1950,1950,1,f,8,1,TU,1,O,26,.,.,.,1
HUN,01,1950,1950,1,f,9,1,TL,1,O,33,.,.,.,1
HUN,01,1950,1950,1,f,9,1,TU,1,O,35,.,.,.,1
HUN,01,1950,1950,1,f,10,1,TL,1,O,31,.,.,.,1
HUN,01,1950,1950,1,f,10,1,TU,1,O,21,.,.,.,1
HUN,01,1950,1950,1,f,11,1,TL,1,O,36,.,.,.,1
HUN,01,1950,1950,1,f,11,1,TU,1,O,29,.,.,.,1
HUN,01,1950,1950,1,f,12,1,TL,1,O,34,.,.,.,1
HUN,01,1950,1950,1,f,12,1,TU,1,O,35,.,.,.,1
HUN,01,1950,1950,1,f,13,1,TL,1,O,22,.,.,.,1
HUN,01,1950,1950,1,f,13,1,TU,1,O,31,.,.,.,1
HUN,01,1950,1950,1,f,14,1,TL,1,O,40,.,.,.,1
HUN,01,1950,1950,1,f,14,1,TU,1,O,41,.,.,.,1
HUN,01,1950,1950,1,f,15,1,TL,1,O,44,.,.,.,1
HUN,01,1950,1950,1,f,15,1,TU,1,O,65,.,.,.,1
HUN,01,1950,1950,1,f,16,1,TL,1,O,53,.,.,.,1
HUN,01,1950,1950,1,f,16,1,TU,1,O,62,.,.,.,1
HUN,01,1950,1950,1,f,17,1,TL,1,O,65,.,.,.,1
HUN,01,1950,1950,1,f,17,1,TU,1,O,76,.,.,.,1
HUN,01,1950,1950,1,f,18,1,TL,1,O,71,.,.,.,1
HUN,01,1950,1950,1,f,18,1,TU,1,O,68,.,.,.,1
HUN,01,1950,1950,1,f,19,1,TL,1,O,63,.,.,.,1
HUN,01,1950,1950,1,f,19,1,TU,1,O,66,.,.,.,1
HUN,01,1950,1950,1,f,20,1,TL,1,O,100,.,.,.,1
HUN,01,1950,1950,1,f,20,1,TU,1,O,90,.,.,.,1
HUN,01,1950,1950,1,f,21,1,TL,1,O,91,.,.,.,1
HUN,01,1950,1950,1,f,21,1,TU,1,O,69,.,.,.,1
HUN,01,1950,1950,1,f,22,1,TL,1,O,80,.,.,.,1
HUN,01,1950,1950,1,f,22,1,TU,1,O,74,.,.,.,1
HUN,01,1950,1950,1,f,23,1,TL,1,O,80,.,.,.,1
HUN,01,1950,1950,1,f,23,1,TU,1,O,82,.,.,.,1
HUN,01,1950,1950,1,f,24,1,TL,1,O,89,.,.,.,1
HUN,01,1950,1950,1,f,24,1,TU,1,O,104,.,.,.,1
HUN,01,1950,1950,1,f,25,1,TL,1,O,114,.,.,.,1
HUN,01,1950,1950,1,f,25,1,TU,1,O,78,.,.,.,1
HUN,01,1950,1950,1,f,26,1,TL,1,O,81,.,.,.,1
HUN,01,1950,1950,1,f,26,1,TU,1,O,97,.,.,.,1
HUN,01,1950,1950,1,f,27,1,TL,1,O,112,.,.,.,1
HUN,01,1950,1950,1,f,27,1,TU,1,O,97,.,.,.,1
HUN,01,1950,1950,1,f,28,1,TL,1,O,113,.,.,.,1
HUN,01,1950,1950,1,f,28,1,TU,1,O,110,.,.,.,1
HUN,01,1950,1950,1,f,29,1,TL,1,O,84,.,.,.,1
HUN,01,1950,1950,1,f,29,1,TU,1,O,101,.,.,.,1
HUN,01,1950,1950,1,f,30,1,TL,1,O,94,.,.,.,1
HUN,01,1950,1950,1,f,30,1,TU,1,O,92,.,.,.,1
HUN,01,1950,1950,1,f,31,1,TL,1,O,63,.,.,.,1
HUN,01,1950,1950,1,f,31,1,TU,1,O,59,.,.,.,1
HUN,01,1950,1950,1,f,32,1,TL,1,O,42,.,.,.,1
HUN,01,1950,1950,1,f,32,1,TU,1,O,62,.,.,.,1
