PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
HUN,1,f,0,1,O,1,1,1950,2,O,86944,2,4,NA,1
HUN,1,f,1,1,O,1,1,1950,2,O,84864,2,4,NA,1
HUN,1,f,2,1,O,1,1,1950,2,O,80846,2,4,NA,1
HUN,1,f,3,1,O,1,1,1950,2,O,71603,2,4,NA,1
HUN,1,f,4,1,O,1,1,1950,2,O,70980,2,4,NA,1
HUN,1,f,5,1,O,1,1,1950,2,O,80859,2,4,NA,1
HUN,1,f,6,1,O,1,1,1950,2,O,74320,2,4,NA,1
HUN,1,f,7,1,O,1,1,1950,2,O,77842,2,4,NA,1
HUN,1,f,8,1,O,1,1,1950,2,O,72261,2,4,NA,1
HUN,1,f,9,1,O,1,1,1950,2,O,76221,2,4,NA,1
HUN,1,f,10,1,O,1,1,1950,2,O,71338,2,4,NA,1
HUN,1,f,11,1,O,1,1,1950,2,O,73710,2,4,NA,1
HUN,1,f,12,1,O,1,1,1950,2,O,71994,2,4,NA,1
HUN,1,f,13,1,O,1,1,1950,2,O,71966,2,4,NA,1
HUN,1,f,14,1,O,1,1,1950,2,O,73116,2,4,NA,1
HUN,1,f,15,1,O,1,1,1950,2,O,73181,2,4,NA,1
HUN,1,f,16,1,O,1,1,1950,2,O,75276,2,4,NA,1
HUN,1,f,17,1,O,1,1,1950,2,O,77227,2,4,NA,1
HUN,1,f,18,1,O,1,1,1950,2,O,75605,2,4,NA,1
HUN,1,f,19,1,O,1,1,1950,2,O,81035,2,4,NA,1
HUN,1,f,20,1,O,1,1,1950,2,O,77062,2,4,NA,1
HUN,1,f,21,1,O,1,1,1950,2,O,79703,2,4,NA,1
HUN,1,f,22,1,O,1,1,1950,2,O,77047,2,4,NA,1
HUN,1,f,23,1,O,1,1,1950,2,O,81112,2,4,NA,1
HUN,1,f,24,1,O,1,1,1950,2,O,83550,2,4,NA,1
HUN,1,f,25,1,O,1,1,1950,2,O,77366,2,4,NA,1
HUN,1,f,26,1,O,1,1,1950,2,O,82105,2,4,NA,1
HUN,1,f,27,1,O,1,1,1950,2,O,85827,2,4,NA,1
HUN,1,f,28,1,O,1,1,1950,2,O,83307,2,4,NA,1
HUN,1,f,29,1,O,1,1,1950,2,O,83271,2,4,NA,1
HUN,1,f,30,1,O,1,1,1950,2,O,71378,2,4,NA,1
HUN,1,f,31,1,O,1,1,1950,2,O,40649,2,4,NA,1
HUN,1,f,32,1,O,1,1,1950,2,O,40140,2,4,NA,1
HUN,1,f,33,1,O,1,1,1950,2,O,41623,2,4,NA,1
HUN,1,f,34,1,O,1,1,1950,2,O,55181,2,4,NA,1
HUN,1,f,35,1,O,1,1,1950,2,O,80842,2,4,NA,1
HUN,1,f,36,1,O,1,1,1950,2,O,78644,2,4,NA,1
HUN,1,f,37,1,O,1,1,1950,2,O,82210,2,4,NA,1
HUN,1,f,38,1,O,1,1,1950,2,O,75280,2,4,NA,1
HUN,1,f,39,1,O,1,1,1950,2,O,79455,2,4,NA,1
HUN,1,f,40,1,O,1,1,1950,2,O,76038,2,4,NA,1
HUN,1,f,41,1,O,1,1,1950,2,O,75385,2,4,NA,1
HUN,1,f,42,1,O,1,1,1950,2,O,72808,2,4,NA,1
HUN,1,f,43,1,O,1,1,1950,2,O,69139,2,4,NA,1
HUN,1,f,44,1,O,1,1,1950,2,O,65508,2,4,NA,1
HUN,1,f,45,1,O,1,1,1950,2,O,66207,2,4,NA,1
HUN,1,f,46,1,O,1,1,1950,2,O,66263,2,4,NA,1
HUN,1,f,47,1,O,1,1,1950,2,O,67660,2,4,NA,1
HUN,1,f,48,1,O,1,1,1950,2,O,62659,2,4,NA,1
HUN,1,f,49,1,O,1,1,1950,2,O,67488,2,4,NA,1
HUN,1,f,50,1,O,1,1,1950,2,O,60226,2,4,NA,1
HUN,1,f,51,1,O,1,1,1950,2,O,62113,2,4,NA,1
HUN,1,f,52,1,O,1,1,1950,2,O,60462,2,4,NA,1
HUN,1,f,53,1,O,1,1,1950,2,O,59511,2,4,NA,1
HUN,1,f,54,1,O,1,1,1950,2,O,56809,2,4,NA,1
HUN,1,f,55,1,O,1,1,1950,2,O,54051,2,4,NA,1
HUN,1,f,56,1,O,1,1,1950,2,O,52275,2,4,NA,1
HUN,1,f,57,1,O,1,1,1950,2,O,50147,2,4,NA,1
HUN,1,f,58,1,O,1,1,1950,2,O,44223,2,4,NA,1
HUN,1,f,59,1,O,1,1,1950,2,O,40989,2,4,NA,1
HUN,1,f,60,1,O,1,1,1950,2,O,43080,2,4,NA,1
HUN,1,f,61,1,O,1,1,1950,2,O,47442,2,4,NA,1
HUN,1,f,62,1,O,1,1,1950,2,O,41358,2,4,NA,1
HUN,1,f,63,1,O,1,1,1950,2,O,41164,2,4,NA,1
HUN,1,f,64,1,O,1,1,1950,2,O,39470,2,4,NA,1
HUN,1,f,65,1,O,1,1,1950,2,O,39243,2,4,NA,1
HUN,1,f,66,1,O,1,1,1950,2,O,36145,2,4,NA,1
HUN,1,f,67,1,O,1,1,1950,2,O,36143,2,4,NA,1
HUN,1,f,68,1,O,1,1,1950,2,O,30002,2,4,NA,1
HUN,1,f,69,1,O,1,1,1950,2,O,30454,2,4,NA,1
HUN,1,f,70,1,O,1,1,1950,2,O,26320,2,4,NA,1
HUN,1,f,71,1,O,1,1,1950,2,O,25189,2,4,NA,1
